MoleculeType	Identifier	MoleculeName	Gene name
Proteins	P01112	UniProt:P01112	HRAS
Proteins	P01116	UniProt:P01116	KRAS
Proteins	P01111	UniProt:P01111	NRAS
Proteins	Q02750	UniProt:Q02750	MAP2K1
Proteins	P36507	UniProt:P36507	MAP2K2
Proteins	Q8WXI2	UniProt:Q8WXI2	CNKSR2
Proteins	Q6VAB6	UniProt:Q6VAB6	KSR2
Proteins	P18206	UniProt:P18206	VCL
Proteins	P02751	UniProt:P02751	FN1
Proteins	P04275	UniProt:P04275	VWF
Proteins	P02671	UniProt:P02671	FGA
Proteins	P02675	UniProt:P02675	FGB
Proteins	P02679	UniProt:P02679	FGG
Proteins	Q7Z5R6	UniProt:Q7Z5R6	APBB1IP
Proteins	P62834	UniProt:P62834	RAP1A
Proteins	P61224	UniProt:P61224	RAP1B
Proteins	Q9Y490	UniProt:Q9Y490	TLN1
Proteins	P05106	UniProt:P05106	ITGB3
Proteins	P08514	UniProt:P08514	ITGA2B
Proteins	P41240	UniProt:P41240	CSK
Proteins	P12931	UniProt:P12931	SRC
Proteins	P60709	UniProt:P60709	ACTB
Proteins	P63261	UniProt:P63261	ACTG1
Proteins	P32121	UniProt:P32121	ARRB2
Proteins	P46940	UniProt:P46940	IQGAP1
Proteins	Q969H4	UniProt:Q969H4	CNKSR1
Proteins	P49407	UniProt:P49407	ARRB1
Proteins	P27448	UniProt:P27448	MARK3
Proteins	Q8IVT5	UniProt:Q8IVT5	KSR1
Proteins	P27361	UniProt:P27361	MAPK3
Proteins	P28482	UniProt:P28482	MAPK1
Proteins	P15056	UniProt:P15056	BRAF
Proteins	P31946	UniProt:P31946	YWHAB
Proteins	P04049	UniProt:P04049	RAF1
Proteins	P10398	UniProt:P10398	ARAF
Proteins	P01116-2	UniProt:P01116-2	KRAS
Proteins	P01116-1	UniProt:P01116-1	KRAS
Proteins	P30086	UniProt:P30086	PEBP1
Proteins	P35232	UniProt:P35232	PHB1
Proteins	Q13557	UniProt:Q13557	CAMK2D
Proteins	Q13554	UniProt:Q13554	CAMK2B
Proteins	Q9UQM7	UniProt:Q9UQM7	CAMK2A
Proteins	Q13555	UniProt:Q13555	CAMK2G
Proteins	P0DP23	UniProt:P0DP23	CALM1
Proteins	O60674	UniProt:O60674	JAK2
Proteins	Q7Z569	UniProt:Q7Z569	BRAP
Proteins	Q16584	UniProt:Q16584	MAP3K11
Proteins	Q9Y6W6	UniProt:Q9Y6W6	DUSP10
Proteins	Q13202	UniProt:Q13202	DUSP8
Proteins	Q9BY84	UniProt:Q9BY84	DUSP16
Proteins	Q99956	UniProt:Q99956	DUSP9
Proteins	Q16829	UniProt:Q16829	DUSP7
Proteins	Q16828	UniProt:Q16828	DUSP6
Proteins	O14807	UniProt:O14807	MRAS
Proteins	P36873	UniProt:P36873	PPP1CC
Proteins	P62140	UniProt:P62140	PPP1CB
Proteins	Q9UQ13	UniProt:Q9UQ13	SHOC2
Proteins	P21359	UniProt:P21359	NF1
Proteins	Q2MJR0	UniProt:Q2MJR0	SPRED3
Proteins	Q7Z698	UniProt:Q7Z698	SPRED2
Proteins	Q7Z699	UniProt:Q7Z699	SPRED1
Proteins	Q6RW13	UniProt:Q6RW13	AGTRAP
Proteins	Q6WCQ1	UniProt:Q6WCQ1	MPRIP
Proteins	Q8N302	UniProt:Q8N302	AGGF1
Proteins	P02545	UniProt:P02545	LMNA
Proteins	Q7Z2W4	UniProt:Q7Z2W4	ZC3HAV1
Proteins	O43521	UniProt:O43521	BCL2L11
Proteins	O95352	UniProt:O95352	ATG7
Proteins	Q96PU8	UniProt:Q96PU8	QKI
Proteins	O00203	UniProt:O00203	AP3B1
Proteins	Q5XG87	UniProt:Q5XG87	TENT4A
Proteins	Q6NXG1	UniProt:Q6NXG1	ESRP1
Proteins	P51797	UniProt:P51797	CLCN6
Proteins	Q6ZMT4	UniProt:Q6ZMT4	KDM7A
Proteins	P51114	UniProt:P51114	FXR1
Proteins	Q9UPV9	UniProt:Q9UPV9	TRAK1
Proteins	Q9NRY5	UniProt:Q9NRY5	FAM114A2
Proteins	Q53H12	UniProt:Q53H12	AGK
Proteins	Q9HCM3	UniProt:Q9HCM3	KIAA1549
Proteins	O15164	UniProt:O15164	TRIM24
Proteins	Q86XD5	UniProt:Q86XD5	FAM131B
Proteins	O43252	UniProt:O43252	PAPSS1
Proteins	Q7KZF4	UniProt:Q7KZF4	SND1
Proteins	Q99996	UniProt:Q99996	AKAP9
